id,name
1,アーティチョーク
2,アーモンド
3,アオベラ
4,アオヤギ
5,アカガイ
6,赤カブ
7,赤トウガラシ
8,赤ワイン
9,アケビ
10,アサイー
11,アサリ
12,アジ
13,アシタバ
14,アズキ
15,アスパラガス
16,アスパラソバージュ
17,アセロラ
18,アナゴ
19,アボカド
20,アマダイ
21,甘夏
22,亜麻仁油
23,アユ
24,アルファルファ
25,アロエ
26,アワビ
27,アンコウ
28,アンズ
29,アンチョビ
30,イカ
31,イサキ
32,イチゴ
33,イチジク
34,イワシ
35,ウイスキー
36,ウーロン茶
37,ウコン
38,ウズラの卵
39,ウド
40,ウナギ
41,ウニ
42,海ブドウ
43,ウメ
44,ウルイ
45,うるち米
46,エゴマ油
47,エシャロット
48,エダマメ
49,エノキダケ
50,エビ
51,エリンギ
52,エンダイブ
53,オータムポエム
54,大麦
55,オールスパイス
56,オカヒジキ
57,オクラ
58,オリーブオイル
59,オリーブの実
60,オレガノ
61,オレンジ
62,カイワレダイコン
63,カキ（柿）
64,カキ（牡蠣）
65,カジカ
66,カジキ
67,カシューナッツ
68,カツオ
69,カニ
70,カブ
71,カボス
72,カボチャ
73,カボチャの種
74,カマス
75,カモミールティー
76,カラシナ
77,カリフラワー
78,カリン
79,カレイ
80,寒天
81,かんぴょう
82,キウイフルーツ
83,キクラゲ
84,キス
85,きな粉
86,キャビア
87,キャベツ
88,牛肉
89,牛乳
90,キュウリ
91,牛レバー
92,行者ニンニク
93,キンカン
94,キンキ
95,キンサイ
96,ギンナン
97,キンメダイ
98,グァバ
99,クウシンサイ
100,クコ
101,クズ（葛）
102,グチ
103,クラゲ
104,クランベリー
105,クリ
106,グリンピース
107,クルマエビ
108,クルミ
109,グレープフルーツ
110,クレソン
111,黒砂糖
112,黒豆
113,クワイ
114,桑の実
115,ケール
116,ケガニ
117,玄米
118,コイ（鯉）
119,紅茶
120,コーヒー
121,ゴーヤ
122,ココア
123,ココナツ
124,コチ
125,ゴボウ
126,ゴマ
127,コマツナ
128,小麦
129,コンニャク
130,コンブ
131,ザーサイ
132,サクランボ
133,ザクロ
134,サケ
135,サザエ
136,ササゲ
137,雑穀米
138,サツマイモ
139,サトイモ
140,サトウキビ
141,サバ
142,サヤインゲン
143,サヤエンドウ
144,サワラ（鰆）
145,サンザシ
146,サンショウ（山椒）
147,サンチュ
148,サンマ
149,シイタケ
150,シシトウガラシ
151,シジミ
152,シシャモ
153,シソ
154,シマトウガラシ
155,ジャガイモ
156,シュンギク（春菊）
157,ジュンサイ
158,ショウガ
159,焼酎
160,しょうゆ（醤油）
161,食塩
162,食用菊
163,白ワイン
164,新ジャガイモ
165,新タマネギ
166,酢
167,スイカ
168,スズキ
169,スターフルーツ
170,スダチ
171,ズッキーニ
172,スプラウト
173,スモモ
174,ズワイガニ
175,セージ
176,セリ
177,セロリ
178,ゼンマイ
179,ソバ
180,ソラマメ
181,タアサイ
182,タイ
183,ダイコン
184,ダイズ
185,タイム
186,タケノコ
187,タコ
188,タチウオ
189,タデ
190,タピオカ
191,タマゴ（鶏卵）
192,タマネギ
193,タラ（鱈）
194,たらこ
195,タラゴン
196,タラの芽
197,タンポポ
198,チーズ
199,チコリー
200,チャービル
201,チョウセンニンジン
202,チンゲンサイ
203,ツクシ
204,ツルナ
205,ツルムラサキ
206,テングサ
207,トウガラシ
208,トウガン（冬瓜）
209,とうみょう（豆苗）
210,トウモロコシ
211,ドクダミ
212,ドジョウ
213,トビウオ
214,トマト
215,ドリアン
216,鶏肉
217,トリュフ
218,トレビス
219,トンブリ
220,ナシ
221,ナズナ
222,ナタマメ（なた豆）
223,納豆
224,夏ミカン
225,ナツメグ
226,ナバナ
227,ナマコ
228,ナメコ
229,ニシン
230,日本酒
231,ニラ
232,ニンジン
233,ニンニク
234,ネギ（ナガネギ）
235,ノザワナ（野沢菜）
236,ノドグロ
237,ノビル
238,のり（海苔）
239,パイナップル
240,ハイビスカス
241,ハクサイ（白菜）
242,パクチー
243,バジル
244,ハスカップ
245,パセリ
246,バター
247,ハタハタ
248,ハチミツ
249,パッションフルーツ
250,ハト麦
251,バナナ
252,ハナマメ（花豆）
253,パパイア
254,パプリカ
255,ハマグリ
256,ハモ
257,ピータン
258,ピーナッツ
259,ピーマン
260,ヒイラギ
261,ビール
262,ヒジキ
263,ピスタチオナッツ
264,ピタヤ
265,ヒヨコ豆
266,ヒラメ
267,ビワ
268,フェンネル
269,フォアグラ
270,フカヒレ
271,フキ
272,フキノトウ
273,フグ
274,豚肉
275,フダンソウ
276,ブドウ
277,ブナシメジ
278,冬イチゴ
279,ブリ（ハマチ）
280,ブルーベリー
281,プルーン
282,プルピエ
283,ブロッコリー
284,プロポリス
285,ペカンナッツ
286,ヘチマ
287,ホウレンソウ
288,ホタテ貝
289,ホタルイカ
290,ボタンエビ
291,ホッケ
292,ポルチーニ
293,マーガリン
294,マイタケ
295,マカダミアナッツ
296,マグロ
297,マゴチ
298,マスタード
299,マタタビ
300,マッシュルーム
301,マツタケ
302,松の実
303,マンゴー
304,ミカン（温州みかん）
305,ミズナ
306,みそ
307,ミツバ
308,ミネラルウォーター
309,ミブナ（壬生菜）
310,ミョウガ
311,ミラクルフルーツ
312,ミント
313,ムール貝
314,ムカゴ
315,麦茶
316,めかぶ
317,芽キャベツ
318,めざし
319,メロン
320,モズク
321,もち米
322,モモ
323,モヤシ
324,モロヘイヤ
325,ヤーコン
326,ヤギ乳
327,ヤマイモ（山いも）
328,ヤリイカ
329,ヤングコーン
330,ユズ
331,ユリ根
332,ヨーグルト
333,羊肉
334,ヨメナ
335,ヨモギ
336,ライム
337,ラッキョウ
338,ランブータン
339,リコリス
340,緑茶
341,リンゴ
342,ルッコラ
343,ルバーブ
344,レーズン
345,レタス
346,レモン
347,レモングラス
348,レンコン
349,レンズ豆
350,ローズヒップティー
351,ローズマリー
352,ローヤルゼリー
353,ローリエ
354,ワカサギ
355,ワカメ
356,ワサビ
357,ワラビ
